"Image","No.","Side","Vegetable","Raw_Vegetable_OCR","Vegetable_Dictionary_Match","Vegetable_Dictionary_Confidence","Vegetable_Status","Price","Vegetable_Confidence","Price_Confidence","Raw_Price_OCR","Digit_Model_Price","Digit_Model_Confidence","Price_Source"
"test1.jpg","1","left","ಬೀನ್ಸ್","ಆಪ","ಬೀನ್ಸ್","1.0","ok","35","0.2349","1.0","35","1355","0.4072","paddleocr"
"test1.jpg","2","left","ಪೋಲ್ ಬೀನ್ಸ್","ಪನೀಲ್ಬೀನಸ್","ಪೋಲ್ ಬೀನ್ಸ್","1.0","ok","37","0.8044","0.9999","37","1544","0.3825","paddleocr"
"test1.jpg","3","left","ಪೋಲ್ ಬೀನ್ಸ್","ರd aನಸ್","ಪೋಲ್ ಬೀನ್ಸ್","1.0","ok","PENDING_REVIEW","0.7166","0.0","","115441","0.4133","pending_review"
"test1.jpg","4","left","ಮೆಣಸಿನಕಾಯಿ","ಮಣನನಕಾು","ಮೆಣಸಿನಕಾಯಿ","1.0","ok","42","0.902","0.9943","42","566","0.4404","paddleocr"
"test1.jpg","5","left","ಸೌತೆಕಾಯಿ","ಸೌತಕಾಂು","ಸೌತೆಕಾಯಿ","1.0","ok","18","0.899","1.0","18","2","0.307","paddleocr"
"test1.jpg","6","left","ಎಂ.ಸಿ.","ಎಂ.ಸ.","ಎಂ.ಸಿ.","1.0","ok","4","0.9739","0.6044","4","4","0.5101","paddleocr"
"test1.jpg","7","left","ಸುರಾಮಿ","ಸುನಾವು","ಸುರಾಮಿ","1.0","ok","PENDING_REVIEW","0.9179","0.0","","17","0.3621","pending_review"
"test1.jpg","8","left","ಯರಕಾನ","ಯಳವನ","ಯರಕಾನ","1.0","ok","3","0.9998","0.9967","3","3","0.5094","paddleocr"
"test1.jpg","9","left","ಗುಂಡು ಬದನೆ","ಗುಂಡುಬದನೆ","ಗುಂಡು ಬದನೆ","1.0","ok","5","0.9253","0.9997","5","11","0.4562","paddleocr"
"test1.jpg","10","left","ಕಂಬಳಕಾಯಿ","ಕಂಬಳಕಾಯು","ಕಂಬಳಕಾಯಿ","1.0","ok","8","0.964","1.0","8","4","0.3051","paddleocr"
"test1.jpg","11","left","ಹೀರೆಕಾಯಿ","೨ೀರೆಕಾಯು","ಹೀರೆಕಾಯಿ","1.0","ok","18","0.8051","1.0","18","13","0.3635","paddleocr"
"test1.jpg","12","left","ಪಡವಲ","ಪಡವಲ","ಪಡವಲ","1.0","ok","15","0.9991","0.8784","1.5","15","0.4629","paddleocr"
"test1.jpg","13","left","ತೊಂಡೆಕಾಯಿ","ತೊಂಡೆಕಾಯು","ತೊಂಡೆಕಾಯಿ","1.0","ok","20","0.9453","0.9999","20","67","0.3074","paddleocr"
